CATEGORIA,NOME ,PRODUTTORE,ANNO,PROVENIENZA,FORNITORE,ACQUISTO,VENDITA,Q.tà,MAGAZZINO,,,,,,,,
,Le pozzelle rosato,Candido,,Puglia,,"€ 3,20","€ 4,16",0,"€ 0,00",,,,,,,,
,Vino Passito,Candido,,Puglia,,"€ 11,00","€ 14,30",0,"€ 0,00",,,,,,,,
,Aceto bianco e rosso,Canevel,,Veneto,,"€ 1,40","€ 1,82",0,"€ 0,00",,,,,,,,
,Prosecco brut,Canevel,,Veneto,,"€ 5,45","€ 7,09",0,"€ 0,00",,,,,,,,
,Prosecco La Vit,Canevel,,Veneto,,"€ 4,95","€ 6,44",0,"€ 0,00",,,,,,,,
,Prosecco La Vit con spago,Canevel,,Veneto,,"€ 4,50","€ 5,85",0,"€ 0,00",,,,,,,,
,Aglianico del Vulture La Firma,Cant.Notaio,,Basilicata,,"€ 21,00","€ 27,30",6,"€ 126,00",,,,,,,,
,Aglianico del Vulture Repertorio,Cant.Notaio,,Basilicata,,"€ 10,70","€ 13,91",0,"€ 0,00",,,,,,,,
,Atto,Cant.Notaio,,Basilicata,,"€ 7,20","€ 9,36",0,"€ 0,00",,,,,,,,
,Lascito,Cant.Notaio,,Basilicata,,"€ 103,11","€ 134,04",0,"€ 0,00",,,,,,,,
,Rogito,Cant.Notaio,,Basilicata,,"€ 8,50","€ 11,05",0,"€ 0,00",,,,,,,,
,Sigillo,Cant.Notaio,,Basilicata,,"€ 23,00","€ 29,90",6,"€ 138,00",,,,,,,,
,Ghemme Brecleme,Cantalupo,,Piemonte,,"€ 30,00","€ 39,00",0,"€ 0,00",,,,,,,,
,Alticelli Fiano ,Cantele,,Puglia,,"€ 4,45","€ 5,79",0,"€ 0,00",,,,,,,,
,Amativo Salento IGT,Cantele,,Puglia,,"€ 9,85","€ 12,81",6,"€ 59,10",,,,,,,,
,Chardonnay teresamanara '12,Cantele,,Puglia,,"€ 8,10","€ 10,53",6,"€ 48,60",,,,,,,,
,Negroamaro,Cantele,,Puglia,,"€ 4,80","€ 6,24",6,"€ 28,80",,,,,,,,
,Negroamaro rosato,Cantele,,Puglia,,"€ 4,60","€ 5,98",0,"€ 0,00",,,,,,,,
,Negroamaro teresamanara,Cantele,,Puglia,,"€ 8,10","€ 10,53",6,"€ 48,60",,,,,,,,
,Primitivo,Cantele,,Puglia,,"€ 4,80","€ 6,24",0,"€ 0,00",,,,,,,,
,Salice Salentino,Cantele,,Puglia,,"€ 4,00","€ 5,20",0,"€ 0,00",,,,,,,,
,Susumaniellio Rosso,Cantele,,Puglia,,"€ 4,80","€ 6,24",12,"€ 57,60",,,,,,,,
,Varius Susumaniello,Cantele,,Puglia,,"€ 4,80","€ 6,24",0,"€ 0,00",,,,,,,,
,Bardolino Chiaretto ,Cantina Custoza,,Veneto,,"€ 2,00","€ 2,60",0,"€ 0,00",,,,,,,,
,Bianco Custoza doc Sup.,Cantina Custoza,,Veneto,,"€ 1,90","€ 2,47",0,"€ 0,00",,,,,,,,
,Garganega,Cantina Custoza,,Veneto,,"€ 1,90","€ 2,47",0,"€ 0,00",,,,,,,,
,Lugana,Cantina Custoza,,Veneto,,"€ 2,00","€ 2,60",0,"€ 0,00",,,,,,,, 
,Merlot,Cantina Custoza,,Veneto,,"€ 1,80","€ 2,34",0,"€ 0,00",,,,,,,,
,Rosso Bardolino,Cantina Custoza,,Veneto,,"€ 2,00","€ 2,60",0,"€ 0,00",,,,,,,,
,Valpolicella,Cantina Custoza,,Veneto,,"€ 2,37","€ 3,08",0,"€ 0,00",,,,,,,,
,Gewurztraminer,Cantina d'Isera,,Trentino,,"€ 4,30","€ 5,59",0,"€ 0,00",,,,,,,,
,Chardonnay,Cantina d'Isera,,Trentino,,"€ 3,50","€ 4,55",0,"€ 0,00",,,,,,,,
,Marzemino,Cantina d'Isera,,Trentino,,"€ 4,00","€ 5,20",0,"€ 0,00",,,,,,,,
,Muller-Thurgau,Cantina d'Isera,,Trentino,,"€ 3,90","€ 5,07",0,"€ 0,00",,,,,,,,
,Teroldego,Cantina d'Isera,,Trentino,,"€ 3,90","€ 5,07",0,"€ 0,00",,,,,,,,
,Barbaresco Currà,Cantina del Glicine,,Piemonte,,"€ 10,50","€ 13,65",0,"€ 0,00",,,,,,,,
,Barbaresco Marcorino,Cantina del Glicine,,Piemonte,,"€ 11,50","€ 14,95",0,"€ 0,00",,,,,,,,
,Barbaresco Marcorino Magnum,Cantina del Glicine,,Piemonte,,"€ 30,00","€ 39,00",0,"€ 0,00",,,,,,,,
,Dolcetto,Cantina del Glicine,,Piemonte,,"€ 5,00","€ 6,50",0,"€ 0,00",,,,,,,,
,Nebbiolo Calcabrune ,Cantina del Glicine,,Piemonte,,"€ 6,20","€ 8,06",0,"€ 0,00",,,,,,,,
,Bue Apis '01,Cantina del Taburno,,Campania,,"€ 28,24","€ 36,71",0,"€ 0,00",,,,,,,,
,Coda di Volpe Amineo,Cantina del Taburno,,Campania,,"€ 4,28","€ 5,56",0,"€ 0,00",,,,,,,,
,Falanghina Taburno,Cantina del Taburno,,Campania,,"€ 4,25","€ 5,53",0,"€ 0,00",,,,,,,,
,Cabernet Base,Cantina di Bolzano,,Alto Adige,,"€ 4,75","€ 6,18",0,"€ 0,00",,,,,,,,
,Chardonnay base,Cantina di Bolzano,,Alto Adige,,"€ 4,75","€ 6,18",0,"€ 0,00",,,,,,,,
,Chardonnay Kleinstein,Cantina di Bolzano,,Alto Adige,,"€ 6,00","€ 7,80",0,"€ 0,00",,,,,,,,
,Gewurztraminer,Cantina di Bolzano,,Alto Adige,,"€ 5,10","€ 6,63",0,"€ 0,00",,,,,,,,
,goldmuchateller,Cantina di Bolzano,,Alto Adige,,"€ 6,00","€ 7,80",0,"€ 0,00",,,,,,,,
,Lagrein grieser,Cantina di Bolzano,,Alto Adige,,"€ 4,70","€ 6,11",0,"€ 0,00",,,,,,,,
,Lagrein Taber '09,Cantina di Bolzano,,Alto Adige,,"€ 19,50","€ 25,35",0,"€ 0,00",,,,,,,,
,Merlot Base ,Cantina di Bolzano,,Alto Adige,,"€ 4,75","€ 5,27",0,"€ 0,00",,,,,,,,
,Moscato Giallo,Cantina di Bolzano,,Alto Adige,,"€ 4,75","€ 6,18",0,"€ 0,00",,,,,,,,
,Muller-Thurgau base,Cantina di Bolzano,,Alto Adige,,"€ 4,75","€ 6,18",0,"€ 0,00",,,,,,,,
,Mumelter cabernet ,Cantina di Bolzano,,Alto Adige,,"€ 13,00","€ 16,90",0,"€ 0,00",,,,,,,,
,Pinot Bianco,Cantina di Bolzano,,Alto Adige,,"€ 4,75","€ 6,18",0,"€ 0,00",,,,,,,,
,Pinot Bianco Dellago,Cantina di Bolzano,,Alto Adige,,"€ 6,60","€ 8,58",0,"€ 0,00",,,,,,,,
,Pinot Grigio base,Cantina di Bolzano,,Alto Adige,,"€ 4,75","€ 6,18",0,"€ 0,00",,,,,,,,
,Pinot Nero,Cantina di Bolzano,,Alto Adige,,"€ 4,15","€ 5,40",0,"€ 0,00",,,,,,,,
,Sauvignon  MocK,Cantina di Bolzano,,Alto Adige,,"€ 6,90","€ 8,97",0,"€ 0,00",,,,,,,,
,St.maddalena,Cantina di Bolzano,,Alto Adige,,"€ 5,00","€ 6,50",0,"€ 0,00",,,,,,,,
,Sylvaner,Cantina di Bolzano,,Alto Adige,,"€ 4,14","€ 5,38",0,"€ 0,00",,,,,,,,
,Greco IGT,Cantina di Bolzano,,Campania,,"€ 4,28","€ 5,56",0,"€ 0,00",,,,,,,,
,Lambrusco grasparossa,Cantina di Formigine,,Emilia Romagna,,"€ 2,30","€ 2,99",0,"€ 0,00",,,,,,,,
,Pignoletto frizzante,Cantina di Formigine,,Emilia Romagna,,"€ 1,90","€ 2,47",0,"€ 0,00",,,,,,,,
,Trebbiano frizzante,Cantina di Formigine,,Emilia Romagna,,"€ 2,18","€ 2,83",0,"€ 0,00",,,,,,,,
,Dolmen,Cantina di Gallura,,Sardegna,,"€ 4,30","€ 5,59",0,"€ 0,00",,,,,,,,
,Vermentino Piras Oro,Cantina di Gallura,,Sardegna,,"€ 6,40","€ 8,32",0,"€ 0,00",,,,,,,,
,Vermentino V.T ,Cantina di Gallura,,Sardegna,,"€ 9,80","€ 12,74",0,"€ 0,00",,,,,,,,
,Vermetino '18 Canayli,Cantina di Gallura,,Sardegna,,"€ 7,20","€ 9,36",0,"€ 0,00",,,,,,,,
,Aglianico Nibbio Grgio,Cantina di Palma,,Basilicata,,"€ 12,60","€ 16,38",0,"€ 0,00",,,,,,,,
,Bardolino,Cantina di Soave,,Veneto,,"€ 2,10","€ 2,73",0,"€ 0,00",,,,,,,,
,Cabernet sauvigno cru,Cantina di Soave,,Veneto,,"€ 2,40","€ 3,12",0,"€ 0,00",,,,,,,,
,Chardonnay cru,Cantina di Soave,,Veneto,,"€ 2,32","€ 3,02",0,"€ 0,00",,,,,,,,
,Donè,Cantina di Soave,,Veneto,,"€ 1,90","€ 2,47",0,"€ 0,00",,,,,,,,
,Durello Frizzante,Cantina di Soave,,Veneto,,"€ 1,90","€ 2,47",0,"€ 0,00",,,,,,,,
,Recioto Soave,Cantina di Soave,,Veneto,,"€ 6,90","€ 8,97",0,"€ 0,00",,,,,,,,
,Recioto Valpolicella,Cantina di Soave,,Veneto,,"€ 6,90","€ 8,97",0,"€ 0,00",,,,,,,,
,Ripasso,Cantina di Soave,,Veneto,,"€ 5,00","€ 6,50",0,"€ 0,00",,,,,,,,
,Soave ,Cantina di Soave,,Veneto,,"€ 1,70","€ 2,21",0,"€ 0,00",,,,,,,,
,Valpolicella ,Cantina di Soave,,Veneto,,"€ 3,50","€ 4,55",0,"€ 0,00",,,,,,,,
,Lambrusco di Sorbara Friedman,Cantina di Sorbara,,Emilia Romagna,,"€ 5,90","€ 7,67",0,"€ 0,00",,,,,,,,
,Forti terre di sicilia bianco,Cantina di Trapani,,Sicilia,,"€ 3,30","€ 4,29",0,"€ 0,00",,,,,,,,
,Nero D'Avola Drepanum,Cantina di Trapani,,Sicilia,,"€ 2,50","€ 3,25",0,"€ 0,00",,,,,,,,
,Lambrusco Magnum Unico,Cantina Divinja,,Emilia Romagna,,"€ 11,00","€ 14,30",0,"€ 0,00",,,,,,,,
,Lambrusco salamino Il Morro,Cantina Divinja,,Emilia Romagna,,"€ 5,00","€ 6,50",0,"€ 0,00",,,,,,,,
,Lambrusco sorbara unico,Cantina Divinja,,Emilia Romagna,,"€ 5,95","€ 7,74",36,"€ 214,20",,,,,,,,
,Arbizzi babernet + primitivo,Cantina due Palme,,Puglia,,"€ 5,40","€ 7,02",0,"€ 0,00",,,,,,,,
,Brindi Rosso,Cantina due Palme,,Puglia,,"€ 4,20","€ 5,46",0,"€ 0,00",,,,,,,,
,Negroamaro,Cantina due Palme,,Puglia,,"€ 3,40","€ 4,42",0,"€ 0,00",,,,,,,,
,Primitivo ,Cantina due Palme,,Puglia,,"€ 4,50","€ 5,85",0,"€ 0,00",,,,,,,,
,Selvarossa,Cantina due Palme,,Puglia,,"€ 9,00","€ 11,70",0,"€ 0,00",,,,,,,,
,Susamaniello (serre),Cantina due Palme,,Puglia,,"€ 5,95","€ 7,74",0,"€ 0,00",,,,,,,,
,Casalia verdeca,Cantina Locorot,,Puglia,,"€ 2,10","€ 2,73",0,"€ 0,00",,,,,,,,
,Locorotondo ,Cantina Locorot,,Puglia,,"€ 2,10","€ 2,73",0,"€ 0,00",,,,,,,,
,Martina,Cantina Locorot,,Puglia,,"€ 2,10","€ 2,73",0,"€ 0,00",,,,,,,,
,Negroamaro,Cantina Locorot,,Puglia,,"€ 2,10","€ 2,73",0,"€ 0,00",,,,,,,,
,Nero di Troia,Cantina Locorot,,Puglia,,"€ 2,10","€ 2,73",0,"€ 0,00",,,,,,,,
,Primitivo '04,Cantina Locorot,,Puglia,,"€ 2,10","€ 2,73",0,"€ 0,00",,,,,,,,
,Freely Bianco,Cantina Monti,,Sardegna,,"€ 4,50","€ 5,85",0,"€ 0,00",,,,,,,,
,Freely Rosso,Cantina Monti,,Sardegna,,"€ 4,50","€ 5,85",0,"€ 0,00",,,,,,,,
,Thaors rosato,Cantina Monti,,Sardegna,,"€ 3,30","€ 4,29",0,"€ 0,00",,,,,,,,
,Vermentino Funtanaliras,Cantina Monti,,Sardegna,,"€ 7,25","€ 9,43",0,"€ 0,00",,,,,,,,
,Vermentino Nord-Est,Cantina Monti,,Sardegna,,"€ 2,90","€ 3,77",0,"€ 0,00",,,,,,,,
,Falerio ,Cantina Offida,,Marche,,"€ 2,30","€ 2,99",0,"€ 0,00",,,,,,,,
,Lacrima di Morro,Cantina Offida,,Marche,,"€ 2,80","€ 3,64",0,"€ 0,00",,,,,,,,
,Passerina ,Cantina Offida,,Marche,,"€ 2,40","€ 3,12",0,"€ 0,00",,,,,,,,
,Pecorino ,Cantina Offida,,Marche,,"€ 3,80","€ 4,94",0,"€ 0,00",,,,,,,,
,Rosso Piceno,Cantina Offida,,Marche,,"€ 2,30","€ 2,99",0,"€ 0,00",,,,,,,,
,Albrizzi,Cantine due Palme,,Puglia,,"€ 5,80","€ 7,54",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino '04 Riserva,Capanna,,Toscana,,"€ 20,00","€ 26,00",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino '19,Capanna,,Toscana,,"€ 27,00","€ 35,10",0,"€ 0,00",,,,,,,,
,Moscadello di Montalcino florus,Capanna,,Toscana,,"€ 8,00","€ 10,40",0,"€ 0,00",,,,,,,,
,Chianti riserva Caparsino,Caparsa,,Toscana,,"€ 24,00","€ 31,20",6,"€ 144,00",,,,,,,,
,Bruenello di Montalcino Ris.'11,Caparzo,,Toscana,,"€ 33,00","€ 42,90",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino '11,Caparzo,,Toscana,,"€ 18,50","€ 24,05",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino '16,Caparzo,,Toscana,,"€ 16,50","€ 21,45",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino 0.375,Caparzo,,Toscana,,"€ 9,80","€ 12,74",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino 2018,Caparzo,,Toscana,,"€ 18,90","€ 24,57",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino 2019,Caparzo,,Toscana,,"€ 19,50","€ 25,35",54,"€ 1.053,00",,,,,,,,
,Brunello di Montalcino La casa,Caparzo,,Toscana,,"€ 33,50","€ 43,55",18,"€ 603,00",,,,,,,,
,Brunello di Montalcino La Casa'16,Caparzo,,Toscana,,"€ 28,00","€ 36,40",0,"€ 0,00",,,,,,,,
,Cà del pazzo '09,Caparzo,,Toscana,,"€ 10,50","€ 13,65",0,"€ 0,00",,,,,,,,
,Chardonnay ,Caparzo,,Toscana,,"€ 3,20","€ 4,16",0,"€ 0,00",,,,,,,,
,Le Grance,Caparzo,,Toscana,,"€ 7,68","€ 9,98",0,"€ 0,00",,,,,,,,
,Rosso di Montalcino,Caparzo,,Toscana,,"€ 8,45","€ 10,99",48,"€ 405,60",,,,,,,,
,Rosso di montalcino mezze,Caparzo,,Toscana,,"€ 2,90","€ 3,77",0,"€ 0,00",,,,,,,,
,Rosso igt Toscana '05,Caparzo,,Toscana,,"€ 4,00","€ 5,20",0,"€ 0,00",,,,,,,,
,Rosso La Caduta,Caparzo,,Toscana,,"€ 11,20","€ 14,56",6,"€ 67,20",,,,,,,,
,Vermentino ,Caparzo,,Toscana,,"€ 4,00","€ 5,20",0,"€ 0,00",,,,,,,,
,Cinque terre ,Capellini,,Liguria,,"€ 15,70","€ 20,41",12,"€ 188,40",,,,,,,,
,Sciacchetra,Capellini,,Liguria,,"€ 36,50","€ 47,45",0,"€ 0,00",,,,,,,,
,Ghiaie della Furba '99,Capezzana,,Toscana,,"€ 0,00","€ 0,00",0,"€ 0,00",,,,,,,,
,Asajè carignano '04,Capichera,,Sardegna,,"€ 11,50","€ 14,95",0,"€ 0,00",,,,,,,,
,Lintori,Capichera,,Sardegna,,"€ 9,00","€ 11,70",0,"€ 0,00",,,,,,,,
,Magnum Golia Bianca Alta,Capichera,,Sardegna,,"€ 45,00","€ 58,50",0,"€ 0,00",,,,,,,,
,Tambè rosato,Capichera,,Sardegna,,"€ 8,00","€ 10,40",0,"€ 0,00",,,,,,,,
,Vermentino Capichera '10,Capichera,,Sardegna,,"€ 22,00","€ 28,60",0,"€ 0,00",,,,,,,,
,Vermentino Capichera magnum,Capichera,,Sardegna,,"€ 42,00","€ 54,60",0,"€ 0,00",,,,,,,,
,Vermentino V.T '09,Capichera,,Sardegna,,"€ 34,00","€ 44,20",0,"€ 0,00",,,,,,,,
,Vigna Ngena,Capichera,,Sardegna,,"€ 16,00","€ 20,80",0,"€ 0,00",,,,,,,,
,Barolo Chinato,Cappellano,,Piemonte,,"€ 25,00","€ 32,50",0,"€ 0,00",,,,,,,,
,Barolo Franco '04,Cappellano,,Piemonte,,"€ 42,00","€ 54,60",0,"€ 0,00",,,,,,,,
,Barolo Rupestris '06,Cappellano,,Piemonte,,"€ 28,00","€ 36,40",0,"€ 0,00",,,,,,,,
,Anima rossa,Caprai,,Umbria,,"€ 3,90","€ 5,07",0,"€ 0,00",,,,,,,,
,Grecante,Caprai,,Umbria,,"€ 6,50","€ 8,45",0,"€ 0,00",,,,,,,,
,Montefalco rosso,Caprai,,Umbria,,"€ 7,00","€ 9,10",18,"€ 126,00",,,,,,,,
,Montefalco rosso riserva '18,Caprai,,Umbria,,"€ 11,00","€ 14,30",0,"€ 0,00",,,,,,,,
,Montefalco rosso vigna flaminia ''18,Caprai,,Umbria,,"€ 8,00","€ 10,40",0,"€ 0,00",,,,,,,,
,Pinot Nero Malcompare,Caprai,,Umbria,,"€ 60,00","€ 78,00",1,"€ 60,00",,,,,,,,
,Sagrantino Collepiano magnum,Caprai,,Umbria,,"€ 40,50","€ 52,65",0,"€ 0,00",,,,,,,,
,Sagrantino montafalco 25°doppio mag,Caprai,,Umbria,,"€ 150,00","€ 195,00",0,"€ 0,00",,,,,,,,
,Sagrantino montefalco '11,Caprai,,Umbria,,"€ 13,00","€ 16,90",0,"€ 0,00",,,,,,,,
,Sagrantino montefalco 25° ,Caprai,,Umbria,,"€ 34,00","€ 44,20",12,"€ 408,00",,,,,,,,
,Sagrantino montefalco 25° magnum,Caprai,,Umbria,,"€ 60,00","€ 78,00",0,"€ 0,00",,,,,,,,
,Sagrantino Passito,Caprai,,Umbria,,"€ 13,00","€ 16,90",18,"€ 234,00",,,,,,,,
,Sagrantino Valdimaggio,Caprai,,Umbria,,"€ 18,00","€ 23,40",12,"€ 216,00",,,,,,,,
,Alta langa extra brut,CapraMarco,,Piemonte,,"€ 16,50","€ 21,45",72,"€ 1.188,00",,,,,,,,
,Nebbiolo,CapraMarco,,Piemonte,,"€ 13,50","€ 17,55",6,"€ 81,00",,,,,,,,
,Brut,Caprari F.lli,,Lombardia,,"€ 4,10","€ 5,33",0,"€ 0,00",,,,,,,,
,Rosè,Caprari F.lli,,Lombardia,,"€ 5,00","€ 6,50",0,"€ 0,00",,,,,,,,
,Nero Carbone,Carbone,,Basilicata,,"€ 5,00","€ 6,50",0,"€ 0,00",,,,,,,,
,Stupor Mundi,Carbone,,Basilicata,,"€ 13,00","€ 16,90",0,"€ 0,00",,,,,,,,
,Lagrein riserva,Carlotto,,Alto Adige,,"€ 13,00","€ 16,90",6,"€ 78,00",,,,,,,,
,Pinot Nero magnum,Carlotto,,Alto Adige,,"€ 35,80","€ 46,54",3,"€ 107,40",,,,,,,,
,Pinot nero ris.,Carlotto,,Alto Adige,,"€ 16,40","€ 21,32",30,"€ 492,00",,,,,,,,
,Caberlot magn.,Carnasciale,,Toscana,,"€ 168,00","€ 218,40",1,"€ 168,00",,,,,,,,
,Arneis 2011,Carretta,,Piemonte,,"€ 5,00","€ 6,50",0,"€ 0,00",,,,,,,,
,Barbaresco  Garassino,Carretta,,Piemonte,,"€ 9,00","€ 11,70",0,"€ 0,00",,,,,,,,
,Barolo Ferrero '04,Carretta,,Piemonte,,"€ 12,50","€ 16,25",0,"€ 0,00",,,,,,,,
,Gavi 2009,Carretta,,Piemonte,,"€ 4,00","€ 5,20",0,"€ 0,00",,,,,,,,
,Vernaccia di Oristano 1968,Carta,,Sardegna,,"€ 280,00","€ 364,00",0,"€ 0,00",,,,,,,,
,Vernaccia di Oristano 2004,Carta,,Sardegna,,"€ 45,00","€ 58,50",0,"€ 0,00",,,,,,,,
,Chianti gran selezione,Casa Emma,,Toscana,,"€ 29,90","€ 38,87",6,"€ 179,40",,,,,,,,
,Chardonnay,Casal Thaulero,,Abruzzo,,"€ 1,50","€ 1,95",0,"€ 0,00",,,,,,,,
,Chardonnay frizzante,Casal Thaulero,,Abruzzo,,"€ 2,00","€ 2,60",0,"€ 0,00",,,,,,,,
,Montepucliano Orsetto,Casal Thaulero,,Abruzzo,,"€ 2,10","€ 2,73",0,"€ 0,00",,,,,,,,
,Pecorino Orsetto d'oro,Casal Thaulero,,Abruzzo,,"€ 2,10","€ 2,73",0,"€ 0,00",,,,,,,,
,Bellone,Casale del giglio,,Lazio,,"€ 8,50","€ 11,05",18,"€ 153,00",,,,,,,,
,Madreselva,Casale del giglio,,Lazio,,"€ 9,50","€ 12,35",0,"€ 0,00",,,,,,,,
,Mater Matuta '03,Casale del giglio,,Lazio,,"€ 15,20","€ 19,76",0,"€ 0,00",,,,,,,,
,Mater Matuta '03,Casale del giglio,,Lazio,,"€ 6,00","€ 7,80",0,"€ 0,00",,,,,,,,
,Matidia Cesanese,Casale del giglio,,Lazio,,"€ 6,00","€ 7,80",0,"€ 0,00",,,,,,,,
,Merlot '09,Casale del giglio,,Lazio,,"€ 4,60","€ 5,98",0,"€ 0,00",,,,,,,,
,Petit mensing,Casale del giglio,,Lazio,,"€ 6,00","€ 7,80",0,"€ 0,00",,,,,,,,
,Petit Verdot,Casale del giglio,,Lazio,,"€ 7,50","€ 9,75",18,"€ 135,00",,,,,,,,
,Satrico '14,Casale del giglio,,Lazio,,"€ 5,50","€ 7,15",18,"€ 99,00",,,,,,,,
,Shiraz '10,Casale del giglio,,Lazio,,"€ 6,50","€ 8,45",24,"€ 156,00",,,,,,,,
,Tempranillo,Casale del giglio,,Lazio,,"€ 9,50","€ 12,35",0,"€ 0,00",,,,,,,,
,Viognier ,Casale del giglio,,Lazio,,"€ 5,30","€ 6,89",0,"€ 0,00",,,,,,,,
,Lambrusco Reggiano Prà di Bosso,Casali,,Emilia Romagna,,"€ 4,00","€ 5,20",48,"€ 192,00",,,,,,,,
,Lambrusco Rosato,Casali,,Emilia Romagna,,"€ 4,00","€ 5,20",6,"€ 24,00",,,,,,,,
,Spumante rosacasali,Casali,,Emilia Romagna,,"€ 5,20","€ 6,76",0,"€ 0,00",,,,,,,,
,Quartosole Sangiovese Riserva,Casali Tenuta,,Emilia Romagna,,"€ 11,80","€ 15,34",0,"€ 0,00",,,,,,,,
,Vigna Baruccia Sangiovese,Casali Tenuta,,Emilia Romagna,,"€ 7,40","€ 9,62",0,"€ 0,00",,,,,,,,
,Brunello Cerretalto 2016,Casanova di Neri,,Toscana,,"€ 199,00","€ 258,70",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino '04 mg,Casanova di Neri,,Toscana,,"€ 60,00","€ 78,00",0,"€ 0,00",,,,,,,,
,Brunello di montalcino '11,Casanova di Neri,,Toscana,,"€ 23,00","€ 29,90",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino '12,Casanova di Neri,,Toscana,,"€ 25,00","€ 32,50",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino '15,Casanova di Neri,,Toscana,,"€ 27,50","€ 35,75",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino '16,Casanova di Neri,,Toscana,,"€ 35,00","€ 45,50",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino '19,Casanova di Neri,,Toscana,,"€ 33,00","€ 42,90",6,"€ 198,00",,,,,,,,
,Brunello di Montalcino T.N '15,Casanova di Neri,,Toscana,,"€ 58,00","€ 75,40",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino T.N. '16,Casanova di Neri,,Toscana,,"€ 75,00","€ 97,50",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino T.nuova '07,Casanova di Neri,,Toscana,,"€ 40,00","€ 52,00",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino T.nuova '11,Casanova di Neri,,Toscana,,"€ 48,00","€ 62,40",0,"€ 0,00",,,,,,,,
,Brunello di Montalino T.N. '19,Casanova di Neri,,Toscana,,"€ 66,00","€ 85,80",6,"€ 396,00",,,,,,,,
,Brunello ris Cerretalto,Casanova di Neri,,Toscana,,"€ 170,00","€ 221,00",0,"€ 0,00",,,,,,,,
,Rosso di Montalcino,Casanova di Neri,,Toscana,,"€ 9,40","€ 12,22",0,"€ 0,00",,,,,,,,
,Soave ,Casarotto,,Veneto,,"€ 3,50","€ 4,55",0,"€ 0,00",,,,,,,,
,Soave Fitta 2021,Casarotto,,Veneto,,"€ 4,50","€ 5,85",0,"€ 0,00",,,,,,,,
,Trento Brut Pinot Bianco,Casata Monfort,,Trentino,,"€ 10,50","€ 13,65",0,"€ 0,00",,,,,,,,
,Barbera d'Alba ,Cascina Fontana,,Piemonte,,"€ 7,50","€ 9,75",0,"€ 0,00",,,,,,,,
,Barolo ,Cascina Fontana,,Piemonte,,"€ 18,00","€ 23,40",0,"€ 0,00",,,,,,,,
,Barolo castiglione falletto,Cascina Fontana,,Piemonte,,"€ 24,00","€ 31,20",0,"€ 0,00",,,,,,,,
,Barbaresco 2016,Cascina Luisin,,Piemonte,,"€ 45,00","€ 58,50",0,"€ 0,00",,,,,,,,
,Dolcetto di Dogliani '04,Cascina Minella,,Piemonte,,"€ 3,40","€ 4,42",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino,Casisano,,Toscana,,"€ 22,00","€ 28,60",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino '16,Casisano,,Toscana,,"€ 23,00","€ 29,90",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino riserva,Casisano,,Toscana,,"€ 46,50","€ 60,45",0,"€ 0,00",,,,,,,,
,Chardonnay ,Castelfeder,,Alto Adige,,"€ 5,70","€ 7,41",42,"€ 239,40",,,,,,,,
,Pinot Nero Buchholz,Castelfeder,,Alto Adige,,"€ 11,35","€ 14,76",12,"€ 136,20",,,,,,,,
,Pinot Nero Glen ,Castelfeder,,Alto Adige,,"€ 12,70","€ 16,51",0,"€ 0,00",,,,,,,,
,Pinot Nero Mazon,Castelfeder,,Alto Adige,,"€ 15,60","€ 20,28",6,"€ 93,60",,,,,,,,
,Vigneto Dolomiti Rosso,Castelfeder,,Alto Adige,,"€ 5,70","€ 7,41",42,"€ 239,40",,,,,,,,
,Chianti,Castell'in Villa,,Toscana,,"€ 19,00","€ 24,70",6,"€ 114,00",,,,,,,,
,Chianti riserva ,Castell'in Villa,,Toscana,,"€ 33,95","€ 44,14",0,"€ 0,00",,,,,,,,
,Chianti riserva '19,Castell'in Villa,,Toscana,,"€ 46,50","€ 60,45",7,"€ 325,50",,,,,,,,
,Chianti riserva 2006,Castell'in Villa,,Toscana,,"€ 82,50","€ 107,25",0,"€ 0,00",,,,,,,,
,Chianti riserva 2013,Castell'in Villa,,Toscana,,"€ 46,95","€ 61,04",0,"€ 0,00",,,,,,,,
,Cassetta I Sodi ,Castellare,,Toscana,,"€ 390,00","€ 507,00",1,"€ 390,00",,,,,,,,
,Chianti ,Castellare,,Toscana,,"€ 11,00","€ 14,30",24,"€ 264,00",,,,,,,,
,Chianti Poggiale riserva,Castellare,,Toscana,,"€ 24,00","€ 31,20",0,"€ 0,00",,,,,,,,
