NOME,PRODUTTORE,ANNO,PROVENIENZA,ACQUISTO,VENDITA,Q.tà,MAGAZZINO
BLANC DE NOIR L'OVERTURE BRUT,Savart,,CHAMPAGNE,"€27,00","€35,10",0,"€0,00"
BLANC DE NOIR LES MAILLONS,Collin,,CHAMPAGNE,"€59,00","€76,70",0,"€0,00"
BLANC DE NOIR PREMIER CRU,Renald,,CHAMPAGNE,"€20,00","€26,00",0,"€0,00"
BLANC DE NOIR PREMIER CRU,Gardet,,CHAMPAGNE,"€25,00","€32,50",0,"€0,00"
BLANC DE ROSIS,Schiopetto,,FRIULI VENEZIA GIULIA,"€9,00","€11,70",0,"€0,00"
BLANC DE ROUGE,Hartmann,,ALTO ADIGE,"€14,90","€19,37",0,"€0,00"
BLANC FUME DE POUILLY LES TOUPEES,Reolde,2019,,,"€0,00",0,"€0,00"
BLANC MEZZE,Ruinart,,CHAMPAGNE,"€38,00","€49,40",36,"€1.368,00"
BLANC NOIR MAGNUM,Gobillard,,CHAMPAGNE,"€63,00","€81,90",0,"€0,00"
BLANC OTT,De Laducette,,FRANCIA,"€7,60","€9,88",0,"€0,00"
BLANC QUARTZ,Ardoisieres,2018,FRANCIA,"€70,00","€91,00",0,"€0,00"
BLANC SCHISTE,Ardoisieres,2018,FRANCIA,"€37,50","€48,75",0,"€0,00"
BLANC/BLANC,Lenoble,,CHAMPAGNE,"€32,00","€41,60",0,"€0,00"
BLANC/BLANC,Serafino,,PIEMONTE,"€17,20","€22,36",0,"€0,00"
BLANC/BLANC RUINART AST,Ruinart,,CHAMPAGNE,"€61,00","€79,30",0,"€0,00"
BLANC/BLANC RUINART LES PIERRIERES,Collin,,CHAMPAGNE,"€41,50","€53,95",0,"€0,00"
BLANC/BLANCS JEROBOAM,Henriot,,CHAMPAGNE,"€148,00","€192,40",0,"€0,00"
BLANC/BLANCS MAGNUM,Henriot,,CHAMPAGNE,"€66,00","€85,80",3,"€198,00"
BLANC/BLANCS MEZZE,Henriot,,CHAMPAGNE,"€13,50","€17,55",0,"€0,00"
BLANC/DE BLANCS INITIAL,Selosse,,CHAMPAGNE,"€116,00","€150,80",5,"€580,00"
BLANCS DE BLANCD COMTES,Taittinger,2014,CHAMPAGNE,"€115,00","€149,50",6,"€690,00"
BLANCS DE BLANCS COMTES,Taittinger,2011,CHAMPAGNE,"€135,00","€175,50",0,"€0,00"
BLANCS DE BLANCS COMTES,Taittinger,2012,CHAMPAGNE,"€150,00","€195,00",0,"€0,00"
BLANCS DE BLANCS COMTES,Taittinger,2013,CHAMPAGNE,"€130,00","€169,00",0,"€0,00"
BLANCS DE BLANCS COMTES,Taittinger,2007,CHAMPAGNE,"€100,00","€130,00",0,"€0,00"
BLANCS DE BLANCS COMTES MAGNUM,Taittinger,,CHAMPAGNE,"€320,00","€416,00",2,"€640,00"
BLANCS IMPORTAZIONE,Taittinger,,CHAMPAGNE,"€77,00","€100,10",0,"€0,00"
BLANGÈ,Ceretto,,PIEMONTE,"€12,50","€16,25",0,"€0,00"
BLANGÈ MAGNUM,Ceretto,,PIEMONTE,"€25,00","€32,50",3,"€75,00"
BLANQUETTE,Blanquette,,CHAMPAGNE,"€5,50","€7,15",0,"€0,00"
BLANQUETTE DE LIMOUX RISERVE,Guinot,,LANGUEDOC,"€5,10","€6,63",0,"€0,00"
BLAUBURGUNDER,Stachlburg,,ALTO ADIGE,"€9,40","€12,22",0,"€0,00"
BLAUBURGUNDER VAL VENOSTA,Stachlburg,,ALTO ADIGE,"€16,40","€21,32",0,"€0,00"
BLUMERI ROSSO,Schiopetto,,FRIULI VENEZIA GIULIA,"€14,00","€18,20",0,"€0,00"
BOCA,Le Piane,,PIEMONTE,"€22,00","€28,60",0,"€0,00"
BOCA,Boca,2003,PIEMONTE,"€22,00","€28,60",0,"€0,00"
BOCCA DI LUPO,Tormaresca,,PUGLIA,"€25,00","€32,50",0,"€0,00"
BOIZEL,Boizel,2014,CHAMPAGNE,"€56,00","€72,80",0,"€0,00"
BOLGHERI,Aldrovandi,,TOSCANA,"€20,00","€26,00",6,"€120,00"
BOLGHERI,Cipriana,,TOSCANA,"€10,50","€13,65",0,"€0,00"
BOLGHERI,Podere Sette,,TOSCANA,"€13,30","€17,29",60,"€798,00"
BOLGHERI,Guado Al Melo,2019,TOSCANA,"€10,60","€13,78",0,"€0,00"
BOLGHERI ADEO,Campo Alla Sughera,,TOSCANA,"€13,00","€16,90",0,"€0,00"
BOLGHERI ANTERO,Le Grascete,,TOSCANA,"€20,00","€26,00",6,"€120,00"
BOLGHERI CASTAGNI,Satta M,,TOSCANA,"€45,00","€58,50",0,"€0,00"
BOLGHERI CAVA,Meraviglia Tenuta,,TOSCANA,"€35,00","€45,50",0,"€0,00"
BOLGHERI GRALE,Le Grascete,,TOSCANA,"€10,00","€13,00",0,"€0,00"
BOLGHERI GRASCETE,Le Grascete,,TOSCANA,"€16,50","€21,45",0,"€0,00"
BOLGHERI IGT TAGETO,Donnaolimpia,,TOSCANA,"€4,30","€5,59",0,"€0,00"
BOLGHERI IMPRONTE,Cavallari Meletti,,TOSCANA,"€20,00","€26,00",0,"€0,00"
BOLGHERI LE PIEVI,Motta,,TOSCANA,"€12,80","€16,64",24,"€307,20"
BOLGHERI POGGIO REALE,Spalletti Toscano,,TOSCANA,"€5,30","€6,89",0,"€0,00"
BOLGHERI ROSSO,Campo Al Mare,,TOSCANA,"€8,10","€10,53",0,"€0,00"
BOLGHERI ROSSO,Meraviglia Tenuta,,TOSCANA,"€13,50","€17,55",24,"€324,00"
BOLGHERI ROSSO,Villanoviana,,TOSCANA,"€14,50","€18,85",0,"€0,00"
BOLGHERI ROSSO,Grattamacco,2018,TOSCANA,"€10,90","€14,17",0,"€0,00"
BOLGHERI ROSSO,Cavallari Meletti,2019,TOSCANA,"€7,80","€10,14",0,"€0,00"
BOLGHERI ROSSO,Grattamacco,2022,TOSCANA,"€17,50","€22,75",0,"€0,00"
BOLGHERI ROSSO,Le Macchiole,2022,TOSCANA,"€15,50","€20,15",0,"€0,00"
BOLGHERI ROSSO BELL'AIA,San Felice,,TOSCANA,"€10,40","€13,52",0,"€0,00"
BOLGHERI ROSSO DOC,Tringali,,TOSCANA,"€6,30","€8,19",0,"€0,00"
BOLGHERI ROSSO DOC,Viticcio,2008,TOSCANA,"€7,00","€9,10",0,"€0,00"
BOLGHERI ROSSO IL SEGGIO,Poggio Al Tesoro,,TOSCANA,"€12,50","€16,25",42,"€525,00"
BOLGHERI ROSSO MAGNUM,Le Macchiole,2012,TOSCANA,"€25,00","€32,50",0,"€0,00"
BOLGHERI ROSSO MAGNUM,Campo Al Mare,,TOSCANA,"€23,00","€29,90",0,"€0,00"
BOLGHERI ROSSO ZIZZOLO MER+CAB,Le Fornacelle,,TOSCANA,"€7,20","€9,36",0,"€0,00"
BOLINA,Rosa Del Golfo,,PUGLIA,"€3,80","€4,94",0,"€0,00"
BOLLINGER,Bollinger,,CHAMPAGNE,"€41,50","€53,95",12,"€498,00"
BOLLINGER,Bollinger,2003,CHAMPAGNE,"€66,90","€86,97",0,"€0,00"
BOLLINGER AST,Bollinger,,CHAMPAGNE,"€42,50","€55,25",78,"€3.315,00"
BOLLINGER B13,Bollinger,,CHAMPAGNE,"€89,50","€116,35",0,"€0,00"
BOLLINGER B16,Bollinger,,CHAMPAGNE,"€88,50","€115,05",0,"€0,00"
BOLLINGER CON SCIABOLA,Bollinger,,CHAMPAGNE,"€116,10","€150,93",0,"€0,00"
BOLLINGER G.A,Bollinger,2014,CHAMPAGNE,"€125,00","€162,50",0,"€0,00"
BOLLINGER G.A,Bollinger,2015,CHAMPAGNE,"€139,00","€180,70",0,"€0,00"
BOLLINGER G.A,Bollinger,2008,CHAMPAGNE,"€98,00","€127,40",0,"€0,00"
BOLLINGER G.A J.BOND,Bollinger,2011,CHAMPAGNE,"€120,00","€156,00",0,"€0,00"
BOLLINGER G.A MAGNUM,Bollinger,2012,CHAMPAGNE,"€265,00","€344,50",0,"€0,00"
BOLLINGER G.A ROSÈ,Bollinger,2007,CHAMPAGNE,"€105,00","€136,50",0,"€0,00"
BOLLINGER G.A.,Bollinger,2012,CHAMPAGNE,"€82,00","€106,60",0,"€0,00"
BOLLINGER G.A. ROSÈ,Bollinger,2012,CHAMPAGNE,"€125,00","€162,50",0,"€0,00"
BOLLINGER G.A. ROSÈ,Bollinger,2015,CHAMPAGNE,"€125,00","€162,50",5,"€625,00"
BOLLINGER MAGNUM,Bollinger,,CHAMPAGNE,"€98,00","€127,40",27,"€2.646,00"
BOLLINGER MEZZE,Bollinger,,CHAMPAGNE,"€18,50","€24,05",0,"€0,00"
BOLLINGER PINOT NERO MAGNUM,Bollinger,,CHAMPAGNE,"€139,00","€180,70",0,"€0,00"
BOLLINGER PINOT NERO TX 20,Bollinger,,CHAMPAGNE,"€85,00","€110,50",12,"€1.020,00"
BOLLINGER PN,Bollinger,,CHAMPAGNE,"€85,00","€110,50",0,"€0,00"
BOLLINGER PN MAGNUM,Bollinger,,CHAMPAGNE,"€182,00","€236,60",0,"€0,00"
"BOLLINGER R,D",Bollinger,2008,CHAMPAGNE,"€214,00","€278,20",0,"€0,00"
BOLLINGER R.D,Bollinger,2004,CHAMPAGNE,"€156,00","€202,80",0,"€0,00"
BOLLINGER R.D JEROBA,Bollinger,2000,CHAMPAGNE,"€680,00","€884,00",0,"€0,00"
BOLLINGER R.D.,Bollinger,1996,CHAMPAGNE,"€112,40","€146,12",0,"€0,00"
BOLLINGER ROSÈ,Bollinger,,CHAMPAGNE,"€46,70","€60,71",0,"€0,00"
BOLLINGER ROSÈ MAGNUM,Bollinger,,CHAMPAGNE,"€103,00","€133,90",0,"€0,00"
BOLLINGER ROSÈ MILLESIMATO,Bollinger,2006,CHAMPAGNE,"€69,00","€89,70",0,"€0,00"
BOLLINGER VIEILLES VIGNE,Bollinger,,CHAMPAGNE,"€980,00","€1.274,00",0,"€0,00"
BOLLINGER VINO ROSSO COTE AUX ENFANTS,Bollinger,,CHAMPAGNE,"€69,00","€89,70",0,"€0,00"
BOLOGNA BIANCO,La Marmocchia,,EMILIA ROMAGNA,"€3,90","€5,07",24,"€93,60"
BOLOGNA ROSSO,Vallona,,EMILIA ROMAGNA,"€5,45","€7,09",48,"€261,60"
BOLOGNINO FRIZZANTE,Il Monticino,,EMILIA ROMAGNA,"€4,90","€6,37",0,"€0,00"
BOLOGNINO ROSSO RISERVA,Il Monticino,,EMILIA ROMAGNA,"€13,00","€16,90",42,"€546,00"
BONARDA,Manuelina,,LOMBARDIA,"€6,00","€7,80",0,"€0,00"
BONARDA,Monsupello,,LOMBARDIA,"€5,30","€6,89",0,"€0,00"
BONARDA FRIZZANTE,Scarpa Colombi,,LOMBARDIA,"€3,50","€4,55",0,"€0,00"
BONAZOLAE COLLINE DI LEVANTO,Cà Du Ferra,,LIGURIA,"€16,50","€21,45",0,"€0,00"
BONNAIRE NATURE,Bonnaire,,CHAMPAGNE,"€23,50","€30,55",0,"€0,00"
BONNES MARES GRAND CRU,Ponsot,,FRANCIA,"€500,00","€650,00",0,"€0,00"
BORDEAU,Eden,,FRANCIA,"€7,50","€9,75",0,"€0,00"
BORDEAUX,Trianon De Larigau,,BORDEAUX,"€18,00","€23,40",0,"€0,00"
BORDEAUX,Alter Ego De,,FRANCIA,"€81,00","€105,30",0,"€0,00"
BORDEAUX,Angludet Margau,,FRANCIA,"€35,00","€45,50",0,"€0,00"
BORDEAUX,Annonce De Belair,2017,FRANCIA,"€56,00","€72,80",0,"€0,00"
BORDEAUX,Beychevelle,2017,FRANCIA,"€96,00","€124,80",0,"€0,00"
BORDEAUX,Cheval Noir,,FRANCIA,"€14,90","€19,37",0,"€0,00"
BORDEAUX,Francs Magnus,,FRANCIA,"€8,50","€11,05",0,"€0,00"
BORDEAUX,Gahn,2017,FRANCIA,"€99,00","€128,70",0,"€0,00"
BORDEAUX,Gazin Pomerol,,FRANCIA,"€105,00","€136,50",0,"€0,00"
BORDEAUX,La Dame De Bala,,FRANCIA,"€13,00","€16,90",0,"€0,00"
BORDEAUX,La Fleur Gazin,2017,FRANCIA,"€39,00","€50,70",0,"€0,00"
BORDEAUX,La Grave,2017,FRANCIA,"€41,00","€53,30",0,"€0,00"
BORDEAUX,Latour A Pomerol,2017,FRANCIA,"€83,00","€107,90",0,"€0,00"
BORDEAUX,Le Clementin Pape,,FRANCIA,"€27,00","€35,10",0,"€0,00"
BORDEAUX,Monplaisir Sagna,,FRANCIA,"€13,00","€16,90",0,"€0,00"
BORDEAUX,Pichon Comtesse,,FRANCIA,"€44,00","€57,20",0,"€0,00"
BORDEAUX,Res.Comtesse,2017,FRANCIA,"€54,00","€70,20",0,"€0,00"
BORDEAUX,Respide Sagna,,FRANCIA,"€10,00","€13,00",0,"€0,00"
BORDEAUX,Terrefort,,FRANCIA,"€5,00","€6,50",0,"€0,00"
BORDEAUX CHATEAU LACOMBE,Bordeaux,,FRANCIA,"€8,00","€10,40",0,"€0,00"
BORDEAUX HAUT MEDOC,De Retout,2013,FRANCIA,"€13,00","€16,90",0,"€0,00"
BORDEAUX LA FLEURE PETRUS,La Fleur,2020,FRANCIA,"€240,00","€312,00",0,"€0,00"
BORDEAUX ROUGE,S. Vincent,,FRANCIA,"€5,50","€7,15",0,"€0,00"
BORDEAUX SAGNA,Beaumont,,FRANCIA,"€18,00","€23,40",0,"€0,00"
BORDEAUX SAGNA,Brane Cantenac,,FRANCIA,"€95,00","€123,50",0,"€0,00"
BORDEAUX SAGNA,Certan De May,,FRANCIA,"€135,00","€175,50",0,"€0,00"
BORDEAUX SAGNA,Croix De Beausej,,FRANCIA,"€23,90","€31,07",0,"€0,00"
BORDEAUX SAGNA,Giscours,,FRANCIA,"€78,00","€101,40",2,"€156,00"
BORDEAUX SAGNA,L'Evangile Pomer,2018,FRANCIA,"€300,00","€390,00",0,"€0,00"
BORDEAUX SAGNA,La Fleur St.Geor,,FRANCIA,"€17,50","€22,75",0,"€0,00"
BORDEAUX SAGNA,La Grave,2018,FRANCIA,"€49,00","€63,70",0,"€0,00"
BORDEAUX SAGNA,La Rame Rouge,,FRANCIA,"€8,40","€10,92",0,"€0,00"
BORDEAUX SAGNA,Latour Pomerol,2018,FRANCIA,"€86,00","€111,80",0,"€0,00"
BORDEAUX SAGNA,Palais Cardinal,,FRANCIA,"€18,00","€23,40",0,"€0,00"
BORDEAUX SAGNA,Paloumey,,FRANCIA,"€16,00","€20,80",0,"€0,00"
BORDEAUX SAGNA,Peyrabon,,FRANCIA,"€14,00","€18,20",0,"€0,00"
BORDEAUX SEBINA,Carteau,,FRANCIA,"€19,30","€25,09",0,"€0,00"
BORDEAUX SUPER,De Terrefort,,FRANCIA,"€5,00","€6,50",0,"€0,00"
BORGO FRIANO CHARDONNAY,Podere Vecciano,,EMILIA ROMAGNA,"€2,30","€2,99",0,"€0,00"
BORGOGNA,Fevre,,FRANCIA,"€10,00","€13,00",0,"€0,00"
BORGOGNONI,Delaiti,,TRENTINO,"€13,50","€17,55",0,"€0,00"
BORGONERO,Borgo Scopeto,,TOSCANA,"€10,00","€13,00",30,"€300,00"
BORRIGIANO VALDARNO,Il Borro,,TOSCANA,"€5,50","€7,15",54,"€297,00"
BOTONERO NEBBIOLO,Prevostini,,LOMBARDIA,"€4,20","€5,46",0,"€0,00"
BOTROSECCO MAREMMA,Antinori,,TOSCANA,"€9,90","€12,87",0,"€0,00"
BOURGOGNE BIANCO,Leflaive,,FRANCIA,"€20,00","€26,00",6,"€120,00"
BOURGOGNE BLANC,Regnard,2002,FRANCIA,"€8,50","€11,05",0,"€0,00"
BOURGOGNE CHARDONNAY,Bouchard,,FRANCIA,"€12,00","€15,60",0,"€0,00"
BOURGOGNE CHARDONNAY,Goichot,,FRANCIA,"€13,00","€16,90",0,"€0,00"
BOURGOGNE CHARDONNAY CRAY,Goichot,,FRANCIA,"€12,00","€15,60",0,"€0,00"
BOURGOGNE CHARDONNAY CRAY MAGNUM,Goichot,,FRANCIA,,"€0,00",0,"€0,00"
BOURGOGNE CHARDONNAY LES DRESSOLLES,Goichot,,FRANCIA,"€12,00","€15,60",0,"€0,00"
BOURGOGNE CHARDONNAY MAGNUM,Goichot,,FRANCIA,"€25,00","€32,50",0,"€0,00"
BOURGOGNE CHRDONNAY,Moret,,FRANCIA,"€22,00","€28,60",0,"€0,00"
BOURGOGNE DU CRAY PINOT NOIR LE CORNEVENT,Goichot,,FRANCIA,"€12,50","€16,25",12,"€150,00"
BOURGOGNE HAUTES COTES DE BEAUNE,Bouchard,,FRANCIA,"€10,00","€13,00",0,"€0,00"
BOURGOGNE HAUTES COTES DE BEAUNE MAGNUM,Goichot,,FRANCIA,"€32,00","€41,60",0,"€0,00"
BOURGOGNE PINOT NERO,Bouchard,,FRANCIA,"€10,00","€13,00",0,"€0,00"
BOURGOGNE PINOT NERO,Goichot,,FRANCIA,"€13,00","€16,90",0,"€0,00"
BOURGOGNE ROSSO,Leflaive,,FRANCIA,"€20,00","€26,00",6,"€120,00"
BOURGOGNE ROUGE,Faveley,,FRANCIA,"€9,00","€11,70",0,"€0,00"
BOURGOGNE ROUGE,Thevenaut,,FRANCIA,"€16,00","€20,80",0,"€0,00"
BOURGOGNE SPUMANTE,Bourgogne,,FRANCIA,"€8,25","€10,73",0,"€0,00"
BOURGONE HAUTES COTES DE BEAUNE BLA,Goichot,,FRANCIA,"€14,50","€18,85",12,"€174,00"
BOURGUEIL TUFFEAUX,Damien Domaine,,FRANCIA,"€11,40","€14,82",0,"€0,00"
BOUZERON,De Villaine,,FRANCIA,"€29,00","€37,70",0,"€0,00"
BOX BATAR '98  '02,Querciabella,,TOSCANA,"€90,00","€117,00",6,"€540,00"
BRACHETTO D'ACQUI,Cavallero,,PIEMONTE,"€4,80","€6,24",0,"€0,00"
BRACHETTO ROSA REALE,Banfi,,PIEMONTE,"€5,00","€6,50",0,"€0,00"
BRACHETTO SPUMANTE,Castello Del Poggio,,PIEMONTE,"€4,80","€6,24",0,"€0,00"
BRADISISMO,Inama,2017,VENETO,"€16,00","€20,80",0,"€0,00"
BRAIDE ALTE,Livon,,FRIULI VENEZIA GIULIA,"€14,50","€18,85",0,"€0,00"
BRAMALUCE (SHIRAZ+SANGIOVESE),Terenzi,,TOSCANA,"€6,10","€7,93",0,"€0,00"
BRAMATERRA,Noah,,PIEMONTE,"€14,50","€18,85",0,"€0,00"
BRAMATERRA,Sella Tenuta,,PIEMONTE,"€15,50","€20,15",0,"€0,00"
BRAMITO SALA CHARDONNAY,Antinori,,UMBRIA,"€11,70","€15,21",0,"€0,00"
BRAMITO SALA CHARDONNAY MEZZE,Antinori,,UMBRIA,"€4,60","€5,98",0,"€0,00"
BRANCAIA BLU,Brancaia,,TOSCANA,"€47,50","€61,75",9,"€427,50"
BRANCAIA BLU MAGNUM,Brancaia,2005,TOSCANA,"€49,00","€63,70",0,"€0,00"
BRENTINO ROSSO IGT,Maculan,,VENETO,"€5,70","€7,41",0,"€0,00"
BREWINE,La Manega,2018,LOMBARDIA,"€6,50","€8,45",0,"€0,00"
BREZANKA,Kocjancic,,FRIULI VENEZIA GIULIA,"€15,00","€19,50",6,"€90,00"
BRICCO AI SUMA,Giacomo Bologna,,PIEMONTE,"€45,00","€58,50",3,"€135,00"
BRICCO BIGOTTA,Giacomo Bologna,2015,PIEMONTE,"€35,00","€45,50",0,"€0,00"
BRINDI ROSSO,Cantina Due Palme,,PUGLIA,"€4,20","€5,46",0,"€0,00"
BROLETTINO,Cà Dei Frati,,LOMBARDIA,"€10,50","€13,65",12,"€126,00"
BRONZONE,Fonterutoli,2006,TOSCANA,"€9,00","€11,70",0,"€0,00"
BROUSTET,Sauternes,,BROVELLI,"€25,00","€32,50",0,"€0,00"
BROUSTET,Sauternes,2000,BROVELLI,"€24,40","€31,72",0,"€0,00"
BROUSTET MEZZE,Sauternes,,BROVELLI,"€14,20","€18,46",0,"€0,00"
BROUSTET MEZZE,Sauternes,2000,BROVELLI,"€13,90","€18,07",0,"€0,00"
BRUCIATO,Antinori,2020,TOSCANA,"€15,12","€19,66",24,"€362,88"
BRUCIATO MAGNUM,Antinori,,TOSCANA,"€35,00","€45,50",0,"€0,00"
BRUCIATO MEZZE,Antinori,,TOSCANA,"€7,20","€9,36",0,"€0,00"
BRUENELLO DI MONTALCINO RIS.,Caparzo,2011,TOSCANA,"€33,00","€42,90",0,"€0,00"
BRUNELLO,Biondi-Santi,2004,TOSCANA,"€45,00","€58,50",0,"€0,00"
BRUNELLO,Biondi-Santi,2005,TOSCANA,"€42,00","€54,60",0,"€0,00"
BRUNELLO,Biondi-Santi,2006,TOSCANA,"€55,00","€71,50",0,"€0,00"
BRUNELLO,La Fiorita,2006,TOSCANA,"€30,00","€39,00",0,"€0,00"
BRUNELLO,Biondi-Santi,2007,TOSCANA,"€57,00","€74,10",0,"€0,00"
BRUNELLO,Biondi-Santi,2008,TOSCANA,"€57,00","€74,10",0,"€0,00"
BRUNELLO,Biondi-Santi,2010,TOSCANA,"€52,50","€68,25",0,"€0,00"
BRUNELLO,Biondi-Santi,2011,TOSCANA,"€85,00","€110,50",0,"€0,00"
BRUNELLO,Biondi-Santi,2012,TOSCANA,"€70,00","€91,00",0,"€0,00"
BRUNELLO,Biondi-Santi,2013,TOSCANA,"€77,00","€100,10",0,"€0,00"
BRUNELLO,Biondi-Santi,2015,TOSCANA,"€90,00","€117,00",0,"€0,00"
BRUNELLO,Biondi-Santi,2016,TOSCANA,"€105,00","€136,50",4,"€420,00"
BRUNELLO,La Gerla,2016,TOSCANA,"€30,00","€39,00",0,"€0,00"
BRUNELLO,Biondi-Santi,2017,TOSCANA,"€118,00","€153,40",0,"€0,00"
BRUNELLO,Biondi-Santi,2018,TOSCANA,"€124,00","€161,20",0,"€0,00"
BRUNELLO CERRETALTO,Casanova Di Neri,2016,TOSCANA,"€199,00","€258,70",0,"€0,00"
BRUNELLO COLOMBINI,Barbi,,TOSCANA,"€18,00","€23,40",0,"€0,00"
BRUNELLO DI MO0NTALCINO MDG,Marroneto,2010,TOSCANA,"€55,00","€71,50",0,"€0,00"
BRUNELLO DI MONT,Poggio Di Sotto,2013,TOSCANA,"€85,00","€110,50",0,"€0,00"
BRUNELLO DI MONT. CAMPOGIOVANNI,San Felice,,TOSCANA,"€22,50","€29,25",30,"€675,00"
BRUNELLO DI MONT. RIS,Col D'Orcia,1990,TOSCANA,"€110,00","€143,00",0,"€0,00"
BRUNELLO DI MONT.RIS.CASTELGIOCONDO,Frescobaldi,2001,TOSCANA,"€42,00","€54,60",0,"€0,00"
BRUNELLO DI MONT.RIS.MAGNUM.,Frescobaldi,,TOSCANA,"€87,00","€113,10",0,"€0,00"
BRUNELLO DI MONTACINO,Fossacolle,2019,TOSCANA,"€24,00","€31,20",0,"€0,00"
BRUNELLO DI MONTALC VIGNA LAGO,Angelini,2015,TOSCANA,"€29,00","€37,70",0,"€0,00"
BRUNELLO DI MONTALC. MG,Angelini,2016,TOSCANA,"€33,00","€42,90",0,"€0,00"
BRUNELLO DI MONTALC. POGGIO ALLE MURA,Banfi,2001,TOSCANA,"€21,00","€27,30",0,"€0,00"
BRUNELLO DI MONTALCINO,Gaja,2018,PIEMONTE,"€48,00","€62,40",0,"€0,00"
BRUNELLO DI MONTALCINO,Camponovo,,TOSCANA,"€20,00","€26,00",0,"€0,00"
BRUNELLO DI MONTALCINO,Casisano,,TOSCANA,"€22,00","€28,60",0,"€0,00"
BRUNELLO DI MONTALCINO,Ciacci Piccolomini,,TOSCANA,"€20,00","€26,00",0,"€0,00"
BRUNELLO DI MONTALCINO,Citille,,TOSCANA,"€22,00","€28,60",0,"€0,00"
BRUNELLO DI MONTALCINO,Corte Dei Venti,,TOSCANA,"€25,00","€32,50",0,"€0,00"
BRUNELLO DI MONTALCINO,Ferrero,,TOSCANA,"€19,00","€24,70",0,"€0,00"
BRUNELLO DI MONTALCINO,Giodo,,TOSCANA,"€75,00","€97,50",0,"€0,00"
BRUNELLO DI MONTALCINO,Il Colle,,TOSCANA,"€19,90","€25,87",0,"€0,00"
BRUNELLO DI MONTALCINO,La Magia,,TOSCANA,"€20,00","€26,00",0,"€0,00"
BRUNELLO DI MONTALCINO,Lambardi,,TOSCANA,"€35,00","€45,50",12,"€420,00"
BRUNELLO DI MONTALCINO,Le Chiuse,,TOSCANA,"€29,00","€37,70",0,"€0,00"
BRUNELLO DI MONTALCINO,Le Macioche,,TOSCANA,"€38,00","€49,40",6,"€228,00"
BRUNELLO DI MONTALCINO,Le Ragnaie,,TOSCANA,"€18,00","€23,40",0,"€0,00"
BRUNELLO DI MONTALCINO,Mocali,,TOSCANA,"€25,00","€32,50",0,"€0,00"
BRUNELLO DI MONTALCINO,Molino Di Sant'Antimo,,TOSCANA,"€23,00","€29,90",0,"€0,00"
BRUNELLO DI MONTALCINO,Padelletti,,TOSCANA,"€23,00","€29,90",0,"€0,00"
BRUNELLO DI MONTALCINO,Palazzesi,,TOSCANA,"€25,00","€32,50",0,"€0,00"
BRUNELLO DI MONTALCINO,Palazzo,,TOSCANA,"€48,00","€62,40",0,"€0,00"
BRUNELLO DI MONTALCINO,Paradiso Manfredi,,TOSCANA,"€34,30","€44,59",0,"€0,00"
BRUNELLO DI MONTALCINO,Pian Dell'Orino,,TOSCANA,"€42,00","€54,60",0,"€0,00"
BRUNELLO DI MONTALCINO,Poggio Antico,,TOSCANA,"€28,00","€36,40",0,"€0,00"
BRUNELLO DI MONTALCINO,Poggio Landi,,TOSCANA,"€20,00","€26,00",0,"€0,00"
BRUNELLO DI MONTALCINO,Quercecchio,,TOSCANA,"€23,00","€29,90",0,"€0,00"
BRUNELLO DI MONTALCINO,Ridolfi,,TOSCANA,"€32,00","€41,60",6,"€192,00"
BRUNELLO DI MONTALCINO,San Lorenzo,,TOSCANA,"€30,00","€39,00",0,"€0,00"
BRUNELLO DI MONTALCINO,Sassetti Livio,,TOSCANA,"€63,00","€81,90",0,"€0,00"
BRUNELLO DI MONTALCINO,Tenuta Buon Tempo,,TOSCANA,"€24,90","€32,37",0,"€0,00"
BRUNELLO DI MONTALCINO,Terre Nere,,TOSCANA,"€31,50","€40,95",0,"€0,00"
BRUNELLO DI MONTALCINO,Tricerchi Castello,,TOSCANA,"€23,97","€31,16",0,"€0,00"
BRUNELLO DI MONTALCINO,Baricci,,TOSCANA,"€34,00","€44,20",3,"€102,00"
BRUNELLO DI MONTALCINO,Fornacella,,TOSCANA,"€21,50","€27,95",12,"€258,00"
BRUNELLO DI MONTALCINO,Terre Nere,,TOSCANA,"€31,50","€40,95",0,"€0,00"
BRUNELLO DI MONTALCINO,Castiglion Del Bosco,2001,TOSCANA,"€14,00","€18,20",0,"€0,00"
BRUNELLO DI MONTALCINO,Ruffino,2001,TOSCANA,"€19,00","€24,70",0,"€0,00"
BRUNELLO DI MONTALCINO,Argiano,2004,TOSCANA,"€19,00","€24,70",0,"€0,00"
BRUNELLO DI MONTALCINO,Camigliano,2004,TOSCANA,"€14,00","€18,20",0,"€0,00"
BRUNELLO DI MONTALCINO,Stella,2004,TOSCANA,"€32,00","€41,60",0,"€0,00"
BRUNELLO DI MONTALCINO,Val Di Cava,2004,TOSCANA,"€34,00","€44,20",0,"€0,00"
BRUNELLO DI MONTALCINO,Marroneto,2005,TOSCANA,"€23,00","€29,90",0,"€0,00"
BRUNELLO DI MONTALCINO,La Fortuna,2006,TOSCANA,"€15,00","€19,50",0,"€0,00"
BRUNELLO DI MONTALCINO,Romitorio,2006,TOSCANA,"€19,30","€25,09",0,"€0,00"
BRUNELLO DI MONTALCINO,Angelini,2007,TOSCANA,"€15,00","€19,50",0,"€0,00"
