NOME,PRODUTTORE,ACQUISTO,VENDITA,Q.tà,MAGAZZINO
DEMERARA RUM 23y,Rossi&Rossi,"€59,00","€76,70",0,"€0,00"
DEMERARA SYMPHONY BLENDED RUM,Samaroli,"€124,00","€161,20",0,"€0,00"
DEMON KNIGHT BLENDED,Onikishi,"€72,00","€93,60",0,"€0,00"
DISTILLATI DI FRUTTA CILIEGIA,Ceretto,"€23,90","€31,07",0,"€0,00"
DISTILLATI DI FRUTTA PRUGNA INVECCHIATA,Ceretto,"€28,90","€37,57",0,"€0,00"
DISTILLATI DI FRUTTA WILLIAM,Ceretto,"€23,90","€31,07",0,"€0,00"
DISTILLATO UVE BIANCHE,Antiche Distil. Riunite,"€16,00","€20,80",0,"€0,00"
DOUBLE CREME DE CASSIS,Cartron,"€13,00","€16,90",0,"€0,00"
DUE BARILI GRAPPE,Poli Jacopo,"€23,50","€30,55",3,"€70,50"
DURONI,Capovilla,"€46,00","€59,80",0,"€0,00"
ED LIMITATA 2019 RUM ZACAPA,Zacapa,"€56,00","€72,80",0,"€0,00"
ELISI CL.500,Berta,"€14,50","€18,85",0,"€0,00"
ELISIR DE CARIBE,Maschio,"€0,67","€0,87",0,"€0,00"
ELIXIR VEGETAL,Chartreuse,"€11,00","€14,30",0,"€0,00"
EX-BOURBON BATCH #4,Bimber,"€65,00","€84,50",0,"€0,00"
EXTRA DRY,Cocchi,"€12,50","€16,25",0,"€0,00"
EXTRA VEJO,Brugal,"€15,00","€19,50",0,"€0,00"
FALERNUM,Petrone,"€11,00","€14,30",0,"€0,00"
FINE BURGOGNE 1993,R.Conti,"€205,00","€266,50",0,"€0,00"
FINO,El Candado,"€12,00","€15,60",0,"€0,00"
FINOCCHIETTO,Nastro D'Oro,"€5,30","€6,89",0,"€0,00"
FOURSQUARE PLENIPOTENZIARIO RUM,Foursquare,"€70,00","€91,00",4,"€280,00"
FRAMBOISE,Massanez,"€24,50","€31,85",0,"€0,00"
FROM THE BARREL,Nikka,"€28,11","€36,54",6,"€168,66"
FROM THE BARREL SILHOUETTE,Nikka,"€32,00","€41,60",0,"€0,00"
GENEPI,Chartreuse,"€20,00","€26,00",0,"€0,00"
GENEPI INTENSE,Chartreuse,"€18,80","€24,44",0,"€0,00"
GENEPY,Beccaris,"€10,00","€13,00",0,"€0,00"
GENEPY,Genepy,"€16,00","€20,80",0,"€0,00"
GENZIANA,Colazingari,"€11,40","€14,82",0,"€0,00"
GENZIANA,Toro,"€18,60","€24,18",0,"€0,00"
GENZIANA GRAN RISERVA TONDA,Santo Spirito,"€9,02","€11,73",6,"€54,12"
GENZIANA HERBALIST,Santo Spirito,"€9,02","€11,73",18,"€162,36"
GIN,Akori,"€18,00","€23,40",0,"€0,00"
GIN,Akori,"€22,11","€28,74",0,"€0,00"
GIN,Alkkemist,"€29,00","€37,70",0,"€0,00"
GIN,Amazzoni,"€26,00","€33,80",0,"€0,00"
GIN,Arnolfini,"€18,50","€24,05",0,"€0,00"
GIN,Bareksten,"€24,50","€31,85",6,"€147,00"
GIN,Beckett'S,"€24,00","€31,20",0,"€0,00"
GIN,Beefeater Litro,"€15,86","€20,62",0,"€0,00"
GIN,Black Tomato,"€18,64","€24,23",0,"€0,00"
GIN,Blue Beetle,"€14,00","€18,20",6,"€84,00"
GIN,Bluecoat,"€22,80","€29,64",0,"€0,00"
GIN,Boe,"€24,00","€31,20",0,"€0,00"
GIN,Boodless,"€11,00","€14,30",0,"€0,00"
GIN,Broker'S,"€16,50","€21,45",0,"€0,00"
GIN,Buckingham Palace,"€28,00","€36,40",0,"€0,00"
GIN,Bulldog,"€12,70","€16,51",0,"€0,00"
GIN,Cannabis,"€20,00","€26,00",0,"€0,00"
GIN,Caorunn,"€21,50","€27,95",0,"€0,00"
GIN,Clandestino,"€20,00","€26,00",0,"€0,00"
GIN,Cotswolds,"€30,00","€39,00",6,"€180,00"
GIN,Cubical Ultra Premium,"€28,00","€36,40",0,"€0,00"
GIN,D&C,"€19,00","€24,70",0,"€0,00"
GIN,Dutch Courage Zuidam,"€25,00","€32,50",0,"€0,00"
GIN,Etsu Japanese,"€23,80","€30,94",0,"€0,00"
GIN,Fabbri,"€23,00","€29,90",18,"€414,00"
GIN,Favignana,"€22,00","€28,60",0,"€0,00"
GIN,Fifty Pounds,"€19,50","€25,35",0,"€0,00"
GIN,Filliers,"€17,50","€22,75",0,"€0,00"
GIN,Gastro Gin & Jonnie,"€23,00","€29,90",0,"€0,00"
GIN,Geranium,"€19,50","€25,35",0,"€0,00"
GIN,Ginarte,"€23,50","€30,55",0,"€0,00"
GIN,Gvine Novaison,"€25,50","€33,15",0,"€0,00"
GIN,Hammer,"€0,00","€0,00",0,"€0,00"
GIN,Haswell,"€20,50","€26,65",0,"€0,00"
GIN,Haymans,"€13,31","€17,30",0,"€0,00"
GIN,Hendrick'S,"€23,00","€29,90",0,"€0,00"
GIN,Imagin,"€12,50","€16,25",0,"€0,00"
GIN,Insulae,"€24,00","€31,20",0,"€0,00"
GIN,Inverroche,"€33,00","€42,90",0,"€0,00"
GIN,Isfjord,"€25,00","€32,50",0,"€0,00"
GIN,Ish,"€27,00","€35,10",0,"€0,00"
GIN,Jberry,"€15,00","€19,50",0,"€0,00"
GIN,Jinzu,"€25,00","€32,50",0,"€0,00"
GIN,Ki No Bi Kyoto,"€32,50","€42,25",0,"€0,00"
GIN,Knut Hansen,"€21,00","€27,30",0,"€0,00"
GIN,Kokoro,"€19,50","€25,35",0,"€0,00"
GIN,Kyoto,"€32,50","€42,25",0,"€0,00"
GIN,Le Tribute,"€24,00","€31,20",0,"€0,00"
GIN,Mayfair,"€19,50","€25,35",0,"€0,00"
GIN,Mare,"€25,50","€33,15",0,"€0,00"
GIN,Mars Wa Bi,"€29,00","€37,70",0,"€0,00"
GIN,Marton,"€20,00","€26,00",0,"€0,00"
GIN,Monkey 47,"€22,00","€28,60",0,"€0,00"
GIN,Nicholson Original,"€17,00","€22,10",0,"€0,00"
GIN,Nouaison,"€25,50","€33,15",0,"€0,00"
GIN,Nordes,"€17,90","€23,27",0,"€0,00"
GIN,Number 0,"€0,00","€0,00",0,"€0,00"
GIN,Occitan,"€16,50","€21,45",6,"€99,00"
GIN,Old English,"€21,00","€27,30",0,"€0,00"
GIN,Ondina,"€23,50","€30,55",0,"€0,00"
GIN,Peter In Florence,"€25,00","€32,50",0,"€0,00"
GIN,Plymouth,"€15,00","€19,50",0,"€0,00"
GIN,Prairie,"€24,00","€31,20",0,"€0,00"
GIN,Roku Gin,"€19,00","€24,70",0,"€0,00"
GIN,Sabatini,"€24,00","€31,20",0,"€0,00"
GIN,Saffron,"€15,50","€20,15",0,"€0,00"
GIN,Saigon Baigur,"€27,00","€35,10",0,"€0,00"
GIN,Sakurao Classic,"€22,35","€29,06",0,"€0,00"
GIN,Savorini,"€19,50","€25,35",0,"€0,00"
GIN,Scapegrace,"€22,00","€28,60",0,"€0,00"
GIN,Silent Pool,"€26,00","€33,80",0,"€0,00"
GIN,Sir Edmond,"€27,00","€35,10",0,"€0,00"
GIN,Solo Wild,"€32,00","€41,60",0,"€0,00"
GIN,Sul,"€26,40","€34,32",0,"€0,00"
GIN,Tanqueray,"€10,16","€13,21",0,"€0,00"
GIN,Tenjaku,"€15,80","€20,54",0,"€0,00"
GIN,The Botanicals,"€22,00","€28,60",0,"€0,00"
GIN,Tomas Dakin,"€30,00","€39,00",0,"€0,00"
GIN,Vallombrosa,"€26,50","€34,45",0,"€0,00"
GIN,Vento,"€20,00","€26,00",0,"€0,00"
GIN,Villa,"€23,50","€30,55",0,"€0,00"
GIN,Whitley Neill,"€17,00","€22,10",0,"€0,00"
GIN,Winspiel,"€34,90","€45,37",0,"€0,00"
GIN,Zafire,"€8,50","€11,05",0,"€0,00"
"GIN 0,5",Engine,"€23,00","€29,90",12,"€276,00"
"GIN 0,5",Ginepraio,"€18,00","€23,40",0,"€0,00"
"GIN 0,5",Harahorn,"€0,00","€0,00",0,"€0,00"
"GIN 0,7",Engine,"€28,50","€37,05",0,"€0,00"
"GIN 0,7",Ginepraio,"€22,50","€29,25",6,"€135,00"
"GIN 1,75L",Saigon Baigur,"€72,00","€93,60",1,"€72,00"
GIN 24 TIPI,Beefeater 24,"€15,50","€20,15",0,"€0,00"
GIN 2L,Sabatini,"€105,00","€136,50",0,"€0,00"
GIN 7 LAGHI,Pisoni,"€29,00","€37,70",0,"€0,00"
GIN 72,Agua Guanches,"€36,00","€46,80",0,"€0,00"
GIN ALLA CANNABIS,Windmill,"€20,00","€26,00",0,"€0,00"
GIN ALTO,Distillering,"€19,00","€24,70",0,"€0,00"
GIN AMERICANO,Bootlegger,"€22,10","€28,73",0,"€0,00"
GIN AMERICANO,Liberator,"€22,10","€28,73",0,"€0,00"
GIN ANALCOLICO,Marzadro,"€12,00","€15,60",0,"€0,00"
GIN AUX AGRUMES,Distillerie De Monaco,"€26,50","€34,45",0,"€0,00"
GIN BARMASTER,Maschio,"€16,00","€20,80",0,"€0,00"
GIN BLACK,Amuerte,"€35,72","€46,44",0,"€0,00"
GIN BLACK,Neige Noire,"€47,00","€61,10",0,"€0,00"
GIN BLACK,Scapegrace,"€25,00","€32,50",0,"€0,00"
GIN BLOSSOM,Ukiyo,"€30,00","€39,00",0,"€0,00"
GIN BLU FATTO CON I FIORI DI IRIS,Magellano,"€22,04","€28,65",0,"€0,00"
GIN BLUE LABEL,Okinawa Recipe,"€31,86","€41,42",0,"€0,00"
GIN BOLLINGER,Anae,"€25,75","€33,48",0,"€0,00"
GIN CAPRI,Mare,"€30,50","€39,65",0,"€0,00"
GIN CINESE,Peddlers,"€23,00","€29,90",0,"€0,00"
GIN CROCODILE,Professore,"€21,00","€27,30",0,"€0,00"
GIN DA GIÙ,Distillering,"€19,00","€24,70",0,"€0,00"
GIN DRY GIN,Sipsmith,"€18,50","€24,05",0,"€0,00"
GIN EAST HYOGO,135°,"€17,80","€23,14",0,"€0,00"
GIN FERDINANDO DE CINQUE,Bad Gin,"€26,40","€34,32",0,"€0,00"
GIN FLORA ADORA,Hendrick'S,"€27,50","€35,75",0,"€0,00"
GIN GIL,Jefferson,"€25,00","€32,50",0,"€0,00"
GIN GLASGOW,Makar,"€0,00","€0,00",0,"€0,00"
GIN GRAND CABARET,Hendrick'S,"€28,50","€37,05",0,"€0,00"
GIN GREEN,Amuerte,"€39,00","€50,70",0,"€0,00"
GIN ITALIANO,Ambrosia,"€18,50","€24,05",0,"€0,00"
GIN LIMONE,Malfy,"€18,50","€24,05",0,"€0,00"
GIN LONDON,"Beefeater 0,700","€10,50","€13,65",0,"€0,00"
GIN LONDON,Beefeater Nero,"€9,50","€12,35",0,"€0,00"
GIN LONDON DRY,Elephant,"€23,20","€30,16",0,"€0,00"
GIN LONEWOLF ORIGINAL,Brewdog,"€19,00","€24,70",0,"€0,00"
GIN LUNAR,Hendrick'S,"€0,00","€0,00",0,"€0,00"
GIN LUZ,Marzadro,"€22,00","€28,60",6,"€132,00"
GIN MADAME,Professore,"€22,00","€28,60",0,"€0,00"
GIN MARCONI,Poli Jacopo,"€19,00","€24,70",0,"€0,00"
GIN MEREGALLI,Botanic,"€32,00","€41,60",0,"€0,00"
GIN MONSIEUR,Professore,"€22,00","€28,60",0,"€0,00"
GIN N.O,Bodegas,"€18,00","€23,40",0,"€0,00"
GIN NATIVE,Killowen,"€24,00","€31,20",0,"€0,00"
GIN NAVY STRENGTH,Plymouth,"€28,00","€36,40",0,"€0,00"
GIN OCEAN WATER,Etsu Japanese,"€25,60","€33,28",0,"€0,00"
GIN OLD TOM,Haymans,"€16,95","€22,04",0,"€0,00"
GIN ORBIUM,Hendrick'S,"€28,30","€36,79",0,"€0,00"
GIN PENISOLA,Portofino,"€29,50","€38,35",0,"€0,00"
GIN PEPE,Fontezoppa,"€28,00","€36,40",0,"€0,00"
GIN POMPELMO,Malfy,"€18,50","€24,05",0,"€0,00"
GIN PORTOFINO,Portofino,"€28,50","€37,05",0,"€0,00"
GIN PURO,Maschio,"€19,00","€24,70",0,"€0,00"
GIN RED,Amuerte,"€39,00","€50,70",0,"€0,00"
GIN SAPPHIRE,Bombay,"€11,00","€14,30",0,"€0,00"
GIN SLOE,Elephant,"€27,50","€35,75",0,"€0,00"
GIN SPIRITED 48°,Beckett'S,"€29,00","€37,70",0,"€0,00"
GIN STAR OF,Bombay,"€21,00","€27,30",0,"€0,00"
GIN SUMMER SOLSTICE,Hendrick'S,"€26,50","€34,45",0,"€0,00"
GIN SUMMERFULS,Miller'S,"€20,70","€26,91",0,"€0,00"
GIN TEN,Tanqueray,"€22,00","€28,60",0,"€0,00"
"GIN TEN 0,70",Tanqueray,"€18,00","€23,40",0,"€0,00"
GIN THOMAS,Dakin,"€30,00","€39,00",0,"€0,00"
GIN WESTBOURNE,Miller'S,"€27,00","€35,10",0,"€0,00"
GIN WHITE,Amuerte,"€38,50","€50,05",0,"€0,00"
GIN ZAFFERANO,Saffron,"€19,30","€25,09",0,"€0,00"
GLEN MORAY 2007,Samaroli,"€194,00","€252,20",0,"€0,00"
GLENLOSSIE 1997 SIGNATORY,Glenlossie,"€55,00","€71,50",0,"€0,00"
GOLD EDITION,Blanton'S,"€145,00","€188,50",1,"€145,00"
GOLD LINE LITRO,Beluga,"€0,00","€0,00",0,"€0,00"
GRAN MARNIER,Gran Marnier,"€14,00","€18,20",0,"€0,00"
GRAPEFRUIT GIN,Apium,"€12,00","€15,60",0,"€0,00"
GRAPPA,Alexander,"€10,00","€13,00",0,"€0,00"
GRAPPA,Castagner,"€12,00","€15,60",0,"€0,00"
GRAPPA,Lidia Prosecco,"€11,50","€14,95",0,"€0,00"
GRAPPA,Lidia Nera,"€11,50","€14,95",0,"€0,00"
GRAPPA,Lidia Gialla,"€11,50","€14,95",0,"€0,00"
GRAPPA,Luce + Bicchieri,"€26,00","€33,80",0,"€0,00"
GRAPPA,Ornellaia,"€17,50","€22,75",0,"€0,00"
GRAPPA,Romitorio,"€11,50","€14,95",0,"€0,00"
GRAPPA,Savorini,"€19,50","€25,35",0,"€0,00"
GRAPPA,Levi,"€30,00","€39,00",0,"€0,00"
GRAPPA 4 STAGIONI CHARDONNAY,Nonino,"€19,00","€24,70",0,"€0,00"
GRAPPA 4 STAGIONI MERLOT,Nonino,"€19,00","€24,70",0,"€0,00"
GRAPPA 4 STAGIONI MOSCATO,Nonino,"€21,00","€27,30",0,"€0,00"
GRAPPA 4 STAGIONI PROSECCO,Nonino,"€18,00","€23,40",0,"€0,00"
GRAPPA 5y,Sibona,"€16,00","€20,80",0,"€0,00"
GRAPPA 903,Maschio,"€11,40","€14,82",0,"€0,00"
GRAPPA AGRICOLA,Tosolin,"€13,50","€17,55",0,"€0,00"
GRAPPA AL MIELE,Poli Jacopo,"€10,50","€13,65",6,"€63,00"
GRAPPA ALBANA,Altavita,"€13,50","€17,55",0,"€0,00"
GRAPPA ALLA RUTA,Pisoni,"€13,00","€16,90",0,"€0,00"
GRAPPA AMARONE,Beccaris,"€14,00","€18,20",0,"€0,00"
GRAPPA AMARONE,Brunello,"€15,50","€20,15",0,"€0,00"
GRAPPA AMARONE,Marolo,"€20,00","€26,00",0,"€0,00"
GRAPPA AMARONE,Tedeschi,"€14,60","€18,98",0,"€0,00"
GRAPPA AMARONE OFF,Bonollo,"€23,50","€30,55",0,"€0,00"
GRAPPA AMARONE PRIME UVE,Maschio,"€40,00","€52,00",0,"€0,00"
GRAPPA AMARONE SHAPES,Beccaris,"€63,00","€81,90",2,"€126,00"
GRAPPA ANNIVERSARIO,Beccaris,"€28,00","€36,40",6,"€168,00"
GRAPPA ANTICA CUVEÈ,Nonino,"€33,00","€42,90",0,"€0,00"
GRAPPA ARNEIS,Beccaris,"€10,00","€13,00",0,"€0,00"
GRAPPA ARNEIS,Castello Barbaresco,"€13,90","€18,07",0,"€0,00"
GRAPPA ARNEIS,Marolo,"€13,00","€16,90",0,"€0,00"
GRAPPA B CHARDONNAY,Domenis,"€12,70","€16,51",0,"€0,00"
GRAPPA B MOSCATO,Domenis,"€13,00","€16,90",0,"€0,00"
GRAPPA B SAUVIGNON,Domenis,"€12,70","€16,51",0,"€0,00"
GRAPPA BARBARESCO,Castello Barbaresco,"€15,30","€19,89",0,"€0,00"
GRAPPA BARBARESCO,Giordano,"€12,50","€16,25",0,"€0,00"
GRAPPA BARBARESCO INVEC,Giordano,"€13,50","€17,55",0,"€0,00"
GRAPPA BARBARESCO RAMO,Beccaris,"€11,50","€14,95",6,"€69,00"
GRAPPA BAROLO,Castello Barbaresco,"€14,80","€19,24",0,"€0,00"
GRAPPA BAROLO,Culto,"€18,00","€23,40",0,"€0,00"
GRAPPA BAROLO 12y,Marolo,"€34,00","€44,20",0,"€0,00"
GRAPPA BAROLO 15y,Marolo,"€43,00","€55,90",6,"€258,00"
GRAPPA BAROLO 2006 IN LEGNO,Marolo,"€28,00","€36,40",0,"€0,00"
GRAPPA BAROLO 20y,Marolo,"€64,00","€83,20",3,"€192,00"
GRAPPA BAROLO 9y,Marolo,"€29,50","€38,35",0,"€0,00"
GRAPPA BAROLO BARRIQUE,Marolo,"€15,50","€20,15",0,"€0,00"
GRAPPA BAROLO BUSSIA,Marolo,"€16,00","€20,80",0,"€0,00"
GRAPPA BAROLO INVECCHIATO RAMO,Beccaris,"€11,50","€14,95",0,"€0,00"
GRAPPA BAROLO SAN BASTIAN,Marolo,"€17,00","€22,10",0,"€0,00"
GRAPPA BAROLO SHAPES,Beccaris,"€61,00","€79,30",1,"€61,00"
GRAPPA BARRIQUE,Borgo Scuro,"€15,50","€20,15",0,"€0,00"
GRAPPA BARRIQUE,Maschio Licio,"€24,00","€31,20",0,"€0,00"
GRAPPA BIANCA,Altavilla,"€12,00","€15,60",0,"€0,00"
GRAPPA BIANCA,Ceschia,"€6,50","€8,45",0,"€0,00"
GRAPPA BIANCA,Maschio Licio,"€22,00","€28,60",0,"€0,00"
GRAPPA BIANCA,Nonino,"€12,00","€15,60",0,"€0,00"
GRAPPA BIANCA AMARONE,Bonollo,"€13,30","€17,29",0,"€0,00"
GRAPPA BIANCA CHARDONNAY,Bonollo,"€10,00","€13,00",0,"€0,00"
GRAPPA BIANCA MOSCATO,Bonollo,"€10,00","€13,00",0,"€0,00"
GRAPPA BIANCA NERO D'AVOLA,Bonollo,"€10,00","€13,00",0,"€0,00"
GRAPPA BLANC E NERI RISERVA,Domenis,"€12,70","€16,51",0,"€0,00"
GRAPPA BRUNELLO LISINI,Marolo,"€18,00","€23,40",12,"€216,00"
GRAPPA BRUNELLO PRIME UVE,Caparzo,"€12,00","€15,60",0,"€0,00"
GRAPPA BRUNELLO PRIME UVE,Maschio,"€40,00","€52,00",0,"€0,00"
GRAPPA BUCCI,Marolo,"€16,00","€20,80",0,"€0,00"
GRAPPA CAMOMILLA,Beccaris,"€10,00","€13,00",0,"€0,00"
GRAPPA CAMOMILLA,Marolo,"€13,00","€16,90",12,"€156,00"
GRAPPA CAPO DI STATO,Venegazzu,"€15,00","€19,50",0,"€0,00"
GRAPPA CAPO DI STATO,Venegazzu,"€13,00","€16,90",0,"€0,00"
GRAPPA CHARDONNAY,Beccaris,"€14,00","€18,20",0,"€0,00"
GRAPPA CHARDONNAY,Mazzetti,"€13,50","€17,55",0,"€0,00"
GRAPPA CHARDONNAY,Segnana,"€10,00","€13,00",0,"€0,00"
GRAPPA CHARDONNAY BARRIQUE,Nonino,"€21,00","€27,30",0,"€0,00"
GRAPPA CHIANTI,Aiola,"€13,00","€16,90",0,"€0,00"
GRAPPA CLASSICA,Borgo Scuro,"€13,50","€17,55",0,"€0,00"
GRAPPA CLASSICA BORGOSCURO,Maschio Licio,"€16,00","€20,80",0,"€0,00"
GRAPPA CLASSICA BORGOSCURO INV.,Maschio Licio,"€18,00","€23,40",0,"€0,00"
GRAPPA CLEOPATRA AMARONE/MOSCATO,Poli Jacopo,"€22,00","€28,60",0,"€0,00"
GRAPPA DEDICATA AL PADRE,Marolo,"€25,00","€32,50",0,"€0,00"
"GRAPPA DEDICATA AL PADRE INVEC,LEGNI",Marolo,"€35,00","€45,50",0,"€0,00"
GRAPPA DEGLI ALBERI LITRO,Marolo,"€13,80","€17,94",0,"€0,00"
GRAPPA DI BRUNELLO,Uccelliera,"€12,80","€16,64",0,"€0,00"
GRAPPA DI NEBBIOLO,Ceretto,"€12,80","€16,64",0,"€0,00"
GRAPPA DI PERA,Psenner,"€12,90","€16,77",0,"€0,00"
GRAPPA DI SOAVE,Bisson,"€11,00","€14,30",0,"€0,00"
GRAPPA ENRICO,Duca Salaparuta,"€19,00","€24,70",0,"€0,00"
GRAPPA FUTURA12,Domenis,"€8,54","€11,10",0,"€0,00"
GRAPPA FUTURA36,Domenis,"€8,54","€11,10",0,"€0,00"
GRAPPA GENZIANA,Pisoni,"€13,00","€16,90",0,"€0,00"
GRAPPA GEWURZTRAMINER,Colterenzio,"€13,30","€17,29",0,"€0,00"
GRAPPA GEWURZTRAMINER,Marolo,"€18,00","€23,40",12,"€216,00"
GRAPPA GINEPRO,Antiche Distil. Riunite,"€7,00","€9,10",0,"€0,00"
GRAPPA HARMONIUM,Firriato,"€22,00","€28,60",0,"€0,00"
GRAPPA INVECCHIATA,Ceschia,"€9,50","€12,35",0,"€0,00"
"GRAPPA INVECCHIATA 0,75",Nonino,"€14,00","€18,20",0,"€0,00"
GRAPPA MAGNUM NUDO,Villa Zarri,"€54,00","€70,20",0,"€0,00"
GRAPPA MERLOT,Tosolin,"€10,00","€13,00",0,"€0,00"
GRAPPA MILLESIMATA CHARDONNAY,Castagner,"€13,50","€17,55",0,"€0,00"
GRAPPA MILLESIMATA PROSECCO,Nonino,"€20,00","€26,00",0,"€0,00"
GRAPPA MIRTILLO,Pisoni,"€13,00","€16,90",0,"€0,00"
GRAPPA MIRTILLO,Poli Jacopo,"€10,00","€13,00",0,"€0,00"
"GRAPPA MONOVITGNO VENDEMMIA 0,75",Nonino,"€16,50","€21,45",0,"€0,00"
GRAPPA MORIONDO,Marolo,"€17,00","€22,10",6,"€102,00"
GRAPPA MORSI DI LUCE,Florio,"€15,00","€19,50",0,"€0,00"
GRAPPA MOSCATO,Castello Barbaresco,"€13,90","€18,07",0,"€0,00"
GRAPPA MOSCATO,Crotta,"€9,20","€11,96",0,"€0,00"
GRAPPA MOSCATO,Culto,"€18,00","€23,40",0,"€0,00"
GRAPPA MOSCATO,Marolo,"€16,00","€20,80",6,"€96,00"
GRAPPA MOSCATO,Mazzetti,"€14,00","€18,20",0,"€0,00"
GRAPPA MOSCATO,Pisoni,"€15,90","€20,67",0,"€0,00"
GRAPPA MOSCATO,Tosolin,"€10,50","€13,65",0,"€0,00"
GRAPPA MOSCATO APRES 5y,Marolo,"€17,60","€22,88",6,"€105,60"
GRAPPA MOSCATO INVECCHIATO,Mazzetti,"€15,00","€19,50",0,"€0,00"
GRAPPA MOSCATO INVECCHIATO RAMO,Beccaris,"€11,50","€14,95",18,"€207,00"
GRAPPA MOSCATO RAMO,Beccaris,"€11,50","€14,95",0,"€0,00"
GRAPPA MOSCATO RISERVA,Beccaris,"€11,00","€14,30",0,"€0,00"
GRAPPA MOSCATO SHAPES,Beccaris,"€61,00","€79,30",1,"€61,00"
GRAPPA MULLER-THURGAU,Avistus,"€9,00","€11,70",0,"€0,00"
GRAPPA MULLER-THURGAU,Segnana,"€10,00","€13,00",0,"€0,00"
GRAPPA NEBBIOLO,Marolo,"€17,00","€22,10",0,"€0,00"
GRAPPA NEBBIOLO,Mazzetti,"€15,00","€19,50",0,"€0,00"
GRAPPA NEBBIOLO BIANCA,Beccaris,"€11,00","€14,30",0,"€0,00"
GRAPPA NEBBIOLO RISERVA,Beccaris,"€11,00","€14,30",0,"€0,00"
GRAPPA NEBBIOLO SHAPES,Beccaris,"€61,00","€79,30",0,"€0,00"
GRAPPA NOSIOLA,Pisoni,"€15,00","€19,50",0,"€0,00"
GRAPPA NOSIOLA 0'500,Pojer,"€14,00","€18,20",0,"€0,00"
"GRAPPA PICOLI 0,250",Nonino,"€41,00","€53,30",0,"€0,00"
"GRAPPA PICOLIT ,500",Nonino,"€65,00","€84,50",0,"€0,00"
GRAPPA PIGATO,Marolo,"€16,00","€20,80",0,"€0,00"
GRAPPA PIGATO,Marolo,"€14,00","€18,20",0,"€0,00"
GRAPPA PIGATO/VERMENTINO,Beccaris,"€11,00","€14,30",0,"€0,00"
GRAPPA PIGNOLETTO,Isola,"€9,50","€12,35",0,"€0,00"
GRAPPA PRIME IVE NERE,Maschio,"€15,30","€19,89",0,"€0,00"
GRAPPA PRIME UVE BIANCHE,Maschio,"€14,30","€18,59",0,"€0,00"
GRAPPA PRIME UVE ORO,Maschio,"€20,00","€26,00",0,"€0,00"
GRAPPA PROSECCO,Nonino,"€25,00","€32,50",0,"€0,00"
GRAPPA PROSECCO,Tosolin,"€9,20","€11,96",0,"€0,00"
GRAPPA QUATER,Firriato,"€15,00","€19,50",0,"€0,00"
GRAPPA QUINTESSENTIA,Nonino,"€12,00","€15,60",0,"€0,00"
GRAPPA RAMANDOLO,Tosolin,"€12,00","€15,60",0,"€0,00"
GRAPPA REFOSCO,Domenis,"€14,00","€18,20",0,"€0,00"
GRAPPA REFOSCO,Nonino,"€25,00","€32,50",0,"€0,00"
GRAPPA RIBOLLA GIALLA,Domenis,"€14,00","€18,20",0,"€0,00"
GRAPPA RIS DI ANNATA,Nonino,"€19,00","€24,70",0,"€0,00"
GRAPPA RISERVA,Tosolin,"€10,50","€13,65",0,"€0,00"
GRAPPA RISERVA BAROLO,Altavilla,"€20,00","€26,00",0,"€0,00"
GRAPPA RUTA,Antiche Distil. Riunite,"€7,00","€9,10",0,"€0,00"
GRAPPA SAGRANTINO PRIME UVE,Maschio,"€40,00","€52,00",0,"€0,00"
GRAPPA SANGIOVESE,Altavita,"€12,50","€16,25",0,"€0,00"
GRAPPA SAUVIGNON,Montecucco,"€10,00","€13,00",0,"€0,00"
GRAPPA SCHIOPPETTINO,Domenis,"€14,00","€18,20",0,"€0,00"
GRAPPA SECOLO 60°,Domenis,"€23,06","€29,98",0,"€0,00"
GRAPPA SELEZIONE NIEEPORT,Poli Jacopo,"€35,00","€45,50",0,"€0,00"
GRAPPA SELEZIONE RHUM CLEMENT,Poli Jacopo,"€35,00","€45,50",0,"€0,00"
GRAPPA SELEZIONE SHERRY PX,Poli Jacopo,"€35,00","€45,50",0,"€0,00"
GRAPPA STORICA 10y RISERVA,Domenis,"€27,00","€35,10",0,"€0,00"
GRAPPA STORICA B,Domenis,"€22,00","€28,60",24,"€528,00"
GRAPPA STORICA D'UVA,Domenis,"€13,00","€16,90",0,"€0,00"
GRAPPA STORICA N,Domenis,"€22,00","€28,60",30,"€660,00"
GRAPPA TEROLDEGO,Pisoni,"€15,00","€19,50",0,"€0,00"
GRAPPA TIGNANELLO,Antinori,"€19,00","€24,70",0,"€0,00"
GRAPPA TOCAI,Brunello,"€11,80","€15,34",0,"€0,00"
GRAPPA TORBA NERA,Castagner,"€18,50","€24,05",0,"€0,00"
GRAPPA TOUCHE VINO ROUCHE,Mazzetti,"€13,00","€16,90",6,"€78,00"
GRAPPA UÈ 2 LITRI,Nonino,"€33,11","€43,04",0,"€0,00"
GRAPPA UÈ FRAGOLINO,Nonino,"€15,50","€20,15",0,"€0,00"
GRAPPA UÈ PROSECCO,Nonino,"€14,80","€19,24",0,"€0,00"
GRAPPA UÈ UVA BIANCA,Nonino,"€13,80","€17,94",0,"€0,00"
GRAPPA UVE BIANCHE,Culto,"€18,00","€23,40",0,"€0,00"
GRAPPA VENDEMMIA,Nonino,"€18,00","€23,40",0,"€0,00"
GRAPPA VERDUZZO,Nonino,"€25,00","€32,50",0,"€0,00"
